id,created_date,modified_date,is_active,factors_crit_succ_fact,created_by_id,factors_role_id,modified_by_id
74,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,"Identify risks, perform risk analysis, work with stakeholders to understand those risks and help reach the best decision for our customers",1,16,1
75,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,"Test solutions in terms of functionality, performance, reliability, stability, security and compatibility ",1,16,1
76,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Development and integration of GIS Modules ,1,17,1
77,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,To ensure that Web GIS applications adheres the requirement of customer ,1,17,1
78,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Create test plans and develop test suites for integration &unit testing.,1,17,1
79,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Participate in application requirements gathering and design meetings,1,17,1
80,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Defining cloud architectures for new systems,1,18,1
81,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Re-architecting systems with an emphasis on cloud,1,18,1
82,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,"Building, driving, and creating roadmaps of systems that need to be migrated to the cloud",1,18,1
83,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Helping define automation and management of cloud infrastructure,1,18,1
84,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Creativity and a good sense of aesthetics,1,19,1
85,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Aptitude for visualizing content ,1,19,1
86,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Capacity for attention to detail,1,19,1
87,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Animation Techniques,1,19,1
88,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,"Requirement elicitation, analysis and documentation",1,20,1
89,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Define and Track Project Plans,1,20,1
90,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Manage scope effectively,1,20,1
91,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Change Management,1,20,1
92,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,"Requirement elicitation, analysis and documentation",1,21,1
93,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Manage scope effectively,1,21,1
94,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Change Management,1,21,1
95,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Process adherence and Deliverable ownership,1,22,1
96,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Project Scope,1,22,1
97,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Project communication,1,22,1
98,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Problem & Solution definition,1,22,1
99,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Requirement gathering - Analyzing customer requirement,1,22,1
100,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Requirement based solution approach,1,22,1
101,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Process adherence and Deliverable ownership,1,23,1
102,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Project Scope,1,23,1
103,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Project communication,1,23,1
104,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Problem & Solution definition,1,23,1
105,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Requirement gathering - Analyzing customer requirement,1,23,1
106,2018-10-25 11:54:40.609093+05:30,2018-10-25 11:54:40.609158+05:30,t,Requirement based solution approach,1,23,1
